Entry,t0,t4,t8,t12,t16,t20,t24
DDB_G0267680,0.31,0.46,2.87,6.5,8.3,6.94,8.79
DDB_G0283049,0.58,1.86,5.14,6.56,8.65,9.26,9.44
DDB_G0290089,0.56,3.09,5,6.46,9.94,18.87,32.34
DDB_G0288681,4.19,1.78,36.37,48.68,48.83,10.87,11.36
DDB_G0294425,10.85,91.33,93.26,42.51,81.77,62.11,44.36
DDB_G0270868,0.09,0.34,0.79,1.38,2.98,2.74,2.12
DDB_G0284901,2.05,8.87,17.48,12.85,11.56,7.03,6.77
DDB_G0291794,0.13,0.42,1.1,1.93,2.3,2.03,2.11
DDB_G0276155,25.21,134.25,210.98,131.43,111.68,116.7,106.31
DDB_G0280453,4.4,25.31,36.45,24,25.21,10.11,6.66
DDB_G0285587,12.45,37.24,102.83,93.06,84.43,87.06,71.59
DDB_G0270158,0.73,3.97,5.9,4.89,6.39,2.39,2.6
DDB_G0284755,2.16,18.9,17.55,15.32,24.06,12.38,5.77
DDB_G0294022,1.84,11.89,14.64,6.34,24.09,10.59,18.26
DDB_G0272931,3.61,5.67,28.67,30.6,44.13,21.47,21.55
DDB_G0293938,2.61,19.2,20.74,19.14,27.89,13.37,8.59
DDB_G0273089,2.62,15.5,20.34,17.97,13.78,16.31,11.08
DDB_G0268776,0.21,0.31,1.59,2.19,3.37,2.43,2.09
DDB_G0272142,1.11,1.97,8.53,7.1,5.06,2.74,2.46
DDB_G0285903,6.92,51.74,52.95,42.22,17.9,10.19,5.73
DDB_G0278273,0.09,0.14,0.69,0.57,1.21,1.76,1.48
DDB_G0287799,3.62,15.99,26.84,26.65,28.14,17.6,18.21
DDB_G0288329,5.49,8,39.88,43.45,61.84,47.39,48.65
